CP,Entidad,Municipio,Asentamiento,Ámbito
44550,Jal.,Guadalajara,Fracc. Verde Valle Anexo,Urbano
44560,Jal.,Guadalajara,Fracc. Residencial Victoria,Urbano
44580,Jal.,Guadalajara,Fracc. Santa Eduwiges,Urbano
44600,Jal.,Guadalajara,Fracc. Ladrón de Guevara,Urbano
44610,Jal.,Guadalajara,Fracc. Lomas Del Country,Urbano
44610,Jal.,Guadalajara,Fracc. Country Club,Urbano
44620,Jal.,Guadalajara,Fracc. Chapultepec Country,Urbano
44630,Jal.,Guadalajara,Fracc. Providencia 1a Secc,Urbano
44630,Jal.,Guadalajara,Fracc. Providencia 2a Secc,Urbano
44630,Jal.,Guadalajara,Fracc. Providencia 1a Secc,Urbano
44647,Jal.,Guadalajara,Fracc. Lomas de Providencia,Urbano
44648,Jal.,Guadalajara,Fracc. Italia Providencia,Urbano
44650,Jal.,Guadalajara,Fracc. Rojas Ladrón de Guevara,Urbano
44660,Jal.,Guadalajara,Fracc. Colomos Providencia,Urbano
44660,Jal.,Guadalajara,Fracc. Colinas de San Javier,Urbano
44660,Jal.,Guadalajara,Fracc. Los Colomos,Urbano
44670,Jal.,Guadalajara,Fracc. Prados de Providencia,Urbano
44670,Jal.,Guadalajara,Fracc. Monraz,Urbano
44670,Jal.,Guadalajara,Fracc. Eulogio Parra,Urbano
44680,Jal.,Guadalajara,Fracc. Circunvalación Vallarta,Urbano
44680,Jal.,Guadalajara,Fracc. Circunvalación Guevara,Urbano
44680,Jal.,Guadalajara,Fracc. Residencial Juan Manuel,Urbano
44689,Jal.,Guadalajara,Fracc. Terranova,Urbano
44690,Jal.,Guadalajara,Fracc. Rinconada Santa Rita,Urbano
44690,Jal.,Guadalajara,Fracc. Vallarta San Jorge,Urbano
44690,Jal.,Guadalajara,Fracc. Vallarta San Lucas,Urbano
44690,Jal.,Guadalajara,Fracc. Vallarta Norte,Urbano
44720,Jal.,Guadalajara,Fracc. Lomas de Oblatos 2a Secc,Urbano
44720,Jal.,Guadalajara,Fracc. Bethel,Urbano
44720,Jal.,Guadalajara,Fracc. Lomas de Oblatos 1a Secc,Urbano
44720,Jal.,Guadalajara,Fracc. San José Río Verde 2a. Sección,Urbano
44720,Jal.,Guadalajara,Fracc. Lomas de San Eugenio,Urbano
44729,Jal.,Guadalajara,Fracc. Residencial de La Barranca,Urbano
44760,Jal.,Guadalajara,Fracc. Lomas Del Gallo,Urbano
44766,Jal.,Guadalajara,Fracc. Rinconada del Valle,Urbano
44790,Jal.,Guadalajara,Fracc. Jardines de San Francisco,Urbano
44810,Jal.,Guadalajara,Fracc. Europa,Urbano
44820,Jal.,Guadalajara,Fracc. Jardines de los Historiadores,Urbano
44820,Jal.,Guadalajara,Fracc. Dioses Del Nilo,Urbano
44820,Jal.,Guadalajara,Fracc. Dioses Del Nilo,Urbano
44840,Jal.,Guadalajara,Fracc. Prados Del Nilo,Urbano
44860,Jal.,Guadalajara,Fracc. El Manantial,Urbano
44860,Jal.,Guadalajara,Fracc. Jardines del Nilo Norte,Urbano
44860,Jal.,Guadalajara,Fracc. Jardines del Nilo Sur,Urbano
44860,Jal.,Guadalajara,Fracc. Jardines de La Paz Norte,Urbano
44860,Jal.,Guadalajara,Fracc. Jardines del Nilo,Urbano
44870,Jal.,Guadalajara,Fracc. Atlas Poniente,Urbano
44870,Jal.,Guadalajara,Fracc. Atlas 2a. Sección,Urbano
44920,Jal.,Guadalajara,Fracc. Las Torres,Urbano
44920,Jal.,Guadalajara,Fracc. Villa La Cruz,Urbano
44930,Jal.,Guadalajara,Fracc. Colón Industrial,Urbano
44940,Jal.,Guadalajara,Fracc. Zona Industrial,Urbano
44950,Jal.,Guadalajara,Fracc. Jardines de San José,Urbano
44950,Jal.,Guadalajara,Fracc. Jardines de La Cruz 2a. Sección,Urbano
44950,Jal.,Guadalajara,Fracc. Residencial La Cruz,Urbano
44950,Jal.,Guadalajara,Fracc. Jardines de La Cruz 1a. Sección,Urbano
44977,Jal.,Guadalajara,Fracc. El Rocio,Urbano
